,start,end,stock,buy strategy,sell strategy,revenue
0,2022-07-20,2023-08-11,"TSLA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.6488580881500239
1,2022-07-20,2023-08-11,"PLTR
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.681997473130226
2,2022-07-20,2023-08-11,"AAPL
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.10311391967773416
3,2022-07-20,2023-08-11,"AMZN
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.150482545928955
4,2022-07-20,2023-08-11,"AMD
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.1274003221702573
5,2022-07-20,2023-08-11,"NIO
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.6412545275545115
6,2022-07-20,2023-08-11,"LCID
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.42001351203203174
7,2022-07-20,2023-08-11,"F
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.23597452464103663
8,2022-07-20,2023-08-11,"T
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.0694322709655762
9,2022-07-20,2023-08-11,"RIVN
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.03843304541587877
10,2022-07-20,2023-08-11,"NVDA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.0827698062133788
11,2022-07-20,2023-08-11,"BBD
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.05641544454574578
12,2022-07-20,2023-08-11,"SOFI
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,1.3474990451574322
13,2022-07-20,2023-08-11,"MARA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.6911551310372342
14,2022-07-20,2023-08-11,"CCL
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.178936828932762
15,2022-07-20,2023-08-11,"OPEN
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.49124005863606907
16,2022-07-20,2023-08-11,"PFE
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.0783041735076904
17,2022-07-20,2023-08-11,"AMC
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.1841419072175022
18,2022-07-20,2023-08-11,"BAC
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.05711519124984789
19,2022-07-20,2023-08-11,"WBD
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.11702724535465259
20,2022-07-20,2023-08-11,"DNA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.010369435870647066
21,2022-07-20,2023-08-11,"JBLU
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.33145272586822466
22,2022-07-20,2023-08-11,"ITUB
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.18072184922933593
23,2022-07-20,2023-08-11,"PCG
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.004189212036133177
24,2022-07-20,2023-08-11,"PYPL
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.3053479985046384
25,2022-07-20,2023-08-11,overall,BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.25754692785823297
trail stop=0.05, fixed stop loss=None, profit target=None